 epoch: 0, train_loss: 1.3848, test_loss: 1.3928, test_f1: 0.1365
 epoch: 1, train_loss: 1.3801, test_loss: 1.3902, test_f1: 0.1365
 epoch: 2, train_loss: 1.3780, test_loss: 1.3882, test_f1: 0.1365
 epoch: 3, train_loss: 1.3759, test_loss: 1.3854, test_f1: 0.1365
 epoch: 4, train_loss: 1.3733, test_loss: 1.3838, test_f1: 0.1365
 epoch: 5, train_loss: 1.3709, test_loss: 1.3817, test_f1: 0.1365
 epoch: 6, train_loss: 1.3679, test_loss: 1.3803, test_f1: 0.1365
 epoch: 7, train_loss: 1.3661, test_loss: 1.3785, test_f1: 0.1365
 epoch: 8, train_loss: 1.3636, test_loss: 1.3768, test_f1: 0.1365
 epoch: 9, train_loss: 1.3622, test_loss: 1.3753, test_f1: 0.1365
 epoch: 10, train_loss: 1.3592, test_loss: 1.3738, test_f1: 0.1365
 epoch: 11, train_loss: 1.3574, test_loss: 1.3721, test_f1: 0.1365
 epoch: 12, train_loss: 1.3552, test_loss: 1.3705, test_f1: 0.1365
 epoch: 13, train_loss: 1.3530, test_loss: 1.3686, test_f1: 0.1365
 epoch: 14, train_loss: 1.3504, test_loss: 1.3671, test_f1: 0.1365
 epoch: 15, train_loss: 1.3473, test_loss: 1.3650, test_f1: 0.1365
 epoch: 16, train_loss: 1.3454, test_loss: 1.3635, test_f1: 0.1365
 epoch: 17, train_loss: 1.3433, test_loss: 1.3615, test_f1: 0.1365
 epoch: 18, train_loss: 1.3397, test_loss: 1.3596, test_f1: 0.1365
 epoch: 19, train_loss: 1.3391, test_loss: 1.3577, test_f1: 0.1365
 epoch: 20, train_loss: 1.3348, test_loss: 1.3557, test_f1: 0.1365
 epoch: 21, train_loss: 1.3318, test_loss: 1.3536, test_f1: 0.1365
 epoch: 22, train_loss: 1.3276, test_loss: 1.3511, test_f1: 0.1365
 epoch: 23, train_loss: 1.3265, test_loss: 1.3486, test_f1: 0.1365
 epoch: 24, train_loss: 1.3225, test_loss: 1.3456, test_f1: 0.1365
 epoch: 25, train_loss: 1.3199, test_loss: 1.3442, test_f1: 0.1365
 epoch: 26, train_loss: 1.3154, test_loss: 1.3408, test_f1: 0.1415
 epoch: 27, train_loss: 1.3151, test_loss: 1.3378, test_f1: 0.1632
 epoch: 28, train_loss: 1.3111, test_loss: 1.3356, test_f1: 0.1767
 epoch: 29, train_loss: 1.3079, test_loss: 1.3324, test_f1: 0.1951
 epoch: 30, train_loss: 1.3045, test_loss: 1.3304, test_f1: 0.2042
 epoch: 31, train_loss: 1.2975, test_loss: 1.3273, test_f1: 0.2178
 epoch: 32, train_loss: 1.2966, test_loss: 1.3245, test_f1: 0.2353
 epoch: 33, train_loss: 1.2933, test_loss: 1.3218, test_f1: 0.2822
 epoch: 34, train_loss: 1.2869, test_loss: 1.3199, test_f1: 0.2842
 epoch: 35, train_loss: 1.2832, test_loss: 1.3163, test_f1: 0.2939
 epoch: 36, train_loss: 1.2783, test_loss: 1.3130, test_f1: 0.3195
 epoch: 37, train_loss: 1.2738, test_loss: 1.3100, test_f1: 0.3248
 epoch: 38, train_loss: 1.2686, test_loss: 1.3068, test_f1: 0.3249
 epoch: 39, train_loss: 1.2714, test_loss: 1.3057, test_f1: 0.3329
 epoch: 40, train_loss: 1.2649, test_loss: 1.3013, test_f1: 0.3414
 epoch: 41, train_loss: 1.2587, test_loss: 1.2981, test_f1: 0.3348
 epoch: 42, train_loss: 1.2528, test_loss: 1.2962, test_f1: 0.3308
 epoch: 43, train_loss: 1.2502, test_loss: 1.2933, test_f1: 0.3331
 epoch: 44, train_loss: 1.2487, test_loss: 1.2904, test_f1: 0.3287
 epoch: 45, train_loss: 1.2475, test_loss: 1.2882, test_f1: 0.3372
 epoch: 46, train_loss: 1.2405, test_loss: 1.2861, test_f1: 0.3392
 epoch: 47, train_loss: 1.2394, test_loss: 1.2839, test_f1: 0.3457
 epoch: 48, train_loss: 1.2398, test_loss: 1.2843, test_f1: 0.3371
 epoch: 49, train_loss: 1.2375, test_loss: 1.2811, test_f1: 0.3457
 epoch: 50, train_loss: 1.2321, test_loss: 1.2817, test_f1: 0.3392
 epoch: 51, train_loss: 1.2300, test_loss: 1.2800, test_f1: 0.3457
 epoch: 52, train_loss: 1.2289, test_loss: 1.2797, test_f1: 0.3393
 epoch: 53, train_loss: 1.2313, test_loss: 1.2798, test_f1: 0.3435
 epoch: 54, train_loss: 1.2260, test_loss: 1.2773, test_f1: 0.3456
 epoch: 55, train_loss: 1.2259, test_loss: 1.2788, test_f1: 0.3435
 epoch: 56, train_loss: 1.2274, test_loss: 1.2766, test_f1: 0.3478
 epoch: 57, train_loss: 1.2279, test_loss: 1.2763, test_f1: 0.3456
 epoch: 58, train_loss: 1.2263, test_loss: 1.2760, test_f1: 0.3457
 epoch: 59, train_loss: 1.2227, test_loss: 1.2758, test_f1: 0.3435
 epoch: 60, train_loss: 1.2173, test_loss: 1.2753, test_f1: 0.3456
 epoch: 61, train_loss: 1.2251, test_loss: 1.2750, test_f1: 0.3456
 epoch: 62, train_loss: 1.2218, test_loss: 1.2741, test_f1: 0.3456
 epoch: 63, train_loss: 1.2187, test_loss: 1.2735, test_f1: 0.3456
 epoch: 64, train_loss: 1.2195, test_loss: 1.2732, test_f1: 0.3456
 epoch: 65, train_loss: 1.2181, test_loss: 1.2721, test_f1: 0.3456
 epoch: 66, train_loss: 1.2240, test_loss: 1.2737, test_f1: 0.3456
 epoch: 67, train_loss: 1.2227, test_loss: 1.2737, test_f1: 0.3456
 epoch: 68, train_loss: 1.2192, test_loss: 1.2748, test_f1: 0.3456
 epoch: 69, train_loss: 1.2185, test_loss: 1.2734, test_f1: 0.3456
 epoch: 70, train_loss: 1.2166, test_loss: 1.2731, test_f1: 0.3456
 epoch: 71, train_loss: 1.2143, test_loss: 1.2724, test_f1: 0.3477
 epoch: 72, train_loss: 1.2222, test_loss: 1.2716, test_f1: 0.3456
 epoch: 73, train_loss: 1.2226, test_loss: 1.2718, test_f1: 0.3456
 epoch: 74, train_loss: 1.2146, test_loss: 1.2718, test_f1: 0.3477
 epoch: 75, train_loss: 1.2178, test_loss: 1.2710, test_f1: 0.3435
 epoch: 76, train_loss: 1.2201, test_loss: 1.2715, test_f1: 0.3497
 epoch: 77, train_loss: 1.2213, test_loss: 1.2720, test_f1: 0.3455
 epoch: 78, train_loss: 1.2155, test_loss: 1.2696, test_f1: 0.3455
 epoch: 79, train_loss: 1.2123, test_loss: 1.2698, test_f1: 0.3455
 epoch: 80, train_loss: 1.2112, test_loss: 1.2710, test_f1: 0.3455
 epoch: 81, train_loss: 1.2126, test_loss: 1.2706, test_f1: 0.3455
 epoch: 82, train_loss: 1.2145, test_loss: 1.2705, test_f1: 0.3477
 epoch: 83, train_loss: 1.2137, test_loss: 1.2704, test_f1: 0.3455
 epoch: 84, train_loss: 1.2157, test_loss: 1.2697, test_f1: 0.3476
 epoch: 85, train_loss: 1.2155, test_loss: 1.2689, test_f1: 0.3497
 epoch: 86, train_loss: 1.2100, test_loss: 1.2689, test_f1: 0.3476
 epoch: 87, train_loss: 1.2164, test_loss: 1.2681, test_f1: 0.3497
 epoch: 88, train_loss: 1.2113, test_loss: 1.2679, test_f1: 0.3497
 epoch: 89, train_loss: 1.2225, test_loss: 1.2696, test_f1: 0.3497
 epoch: 90, train_loss: 1.2070, test_loss: 1.2689, test_f1: 0.3497
 epoch: 91, train_loss: 1.2083, test_loss: 1.2687, test_f1: 0.3476
 epoch: 92, train_loss: 1.2190, test_loss: 1.2688, test_f1: 0.3497
 epoch: 93, train_loss: 1.2114, test_loss: 1.2674, test_f1: 0.3455
 epoch: 94, train_loss: 1.2121, test_loss: 1.2685, test_f1: 0.3455
 epoch: 95, train_loss: 1.2095, test_loss: 1.2686, test_f1: 0.3497
 epoch: 96, train_loss: 1.2159, test_loss: 1.2696, test_f1: 0.3497
 epoch: 97, train_loss: 1.2028, test_loss: 1.2684, test_f1: 0.3497
 epoch: 98, train_loss: 1.2119, test_loss: 1.2674, test_f1: 0.3453
 epoch: 99, train_loss: 1.2069, test_loss: 1.2668, test_f1: 0.3453
 epoch: 0, train_loss: 1.3030, test_loss: 1.3323, test_f1: 0.1365
 epoch: 1, train_loss: 1.2996, test_loss: 1.3282, test_f1: 0.1365
 epoch: 2, train_loss: 1.2956, test_loss: 1.3218, test_f1: 0.1856
 epoch: 3, train_loss: 1.2901, test_loss: 1.3191, test_f1: 0.2097
 epoch: 4, train_loss: 1.2910, test_loss: 1.3167, test_f1: 0.2093
 epoch: 5, train_loss: 1.2846, test_loss: 1.3149, test_f1: 0.2170
 epoch: 6, train_loss: 1.2825, test_loss: 1.3130, test_f1: 0.2389
 epoch: 7, train_loss: 1.2756, test_loss: 1.3112, test_f1: 0.2436
 epoch: 8, train_loss: 1.2773, test_loss: 1.3099, test_f1: 0.2337
 epoch: 9, train_loss: 1.2763, test_loss: 1.3081, test_f1: 0.2363
 epoch: 10, train_loss: 1.2700, test_loss: 1.3067, test_f1: 0.2589
 epoch: 11, train_loss: 1.2685, test_loss: 1.3046, test_f1: 0.2860
 epoch: 12, train_loss: 1.2654, test_loss: 1.3040, test_f1: 0.2915
 epoch: 13, train_loss: 1.2606, test_loss: 1.3028, test_f1: 0.3020
 epoch: 14, train_loss: 1.2595, test_loss: 1.3021, test_f1: 0.3053
 epoch: 15, train_loss: 1.2576, test_loss: 1.3004, test_f1: 0.3242
 epoch: 16, train_loss: 1.2613, test_loss: 1.2998, test_f1: 0.3304
 epoch: 17, train_loss: 1.2535, test_loss: 1.2997, test_f1: 0.3260
 epoch: 18, train_loss: 1.2495, test_loss: 1.2986, test_f1: 0.3261
 epoch: 19, train_loss: 1.2524, test_loss: 1.2979, test_f1: 0.3245
 epoch: 20, train_loss: 1.2443, test_loss: 1.2969, test_f1: 0.3220
 epoch: 21, train_loss: 1.2420, test_loss: 1.2972, test_f1: 0.3198
 epoch: 22, train_loss: 1.2385, test_loss: 1.2973, test_f1: 0.3243
 epoch: 23, train_loss: 1.2407, test_loss: 1.2956, test_f1: 0.3239
 epoch: 24, train_loss: 1.2396, test_loss: 1.2974, test_f1: 0.3222
 epoch: 25, train_loss: 1.2327, test_loss: 1.2966, test_f1: 0.3299
 epoch: 26, train_loss: 1.2374, test_loss: 1.2936, test_f1: 0.3321
 epoch: 27, train_loss: 1.2306, test_loss: 1.2969, test_f1: 0.3321
 epoch: 28, train_loss: 1.2283, test_loss: 1.2955, test_f1: 0.3341
 epoch: 29, train_loss: 1.2309, test_loss: 1.2913, test_f1: 0.3340
 epoch: 30, train_loss: 1.2361, test_loss: 1.2942, test_f1: 0.3359
 epoch: 31, train_loss: 1.2206, test_loss: 1.2943, test_f1: 0.3276
 epoch: 32, train_loss: 1.2222, test_loss: 1.2941, test_f1: 0.3253
 epoch: 33, train_loss: 1.2234, test_loss: 1.2934, test_f1: 0.3309
 epoch: 34, train_loss: 1.2203, test_loss: 1.2947, test_f1: 0.3311
 epoch: 35, train_loss: 1.2189, test_loss: 1.2925, test_f1: 0.3309
 epoch: 36, train_loss: 1.2204, test_loss: 1.2918, test_f1: 0.3219
 epoch: 37, train_loss: 1.2164, test_loss: 1.2913, test_f1: 0.3287
 epoch: 38, train_loss: 1.2162, test_loss: 1.2901, test_f1: 0.3143
 epoch: 39, train_loss: 1.2150, test_loss: 1.2930, test_f1: 0.3163
 epoch: 40, train_loss: 1.2160, test_loss: 1.2885, test_f1: 0.3117
 epoch: 41, train_loss: 1.2114, test_loss: 1.2877, test_f1: 0.3152
 epoch: 42, train_loss: 1.2152, test_loss: 1.2892, test_f1: 0.3136
 epoch: 43, train_loss: 1.2170, test_loss: 1.2855, test_f1: 0.3194
 epoch: 44, train_loss: 1.2119, test_loss: 1.2844, test_f1: 0.3170
 epoch: 45, train_loss: 1.2047, test_loss: 1.2852, test_f1: 0.3175
 epoch: 46, train_loss: 1.2143, test_loss: 1.2841, test_f1: 0.3236
 epoch: 47, train_loss: 1.2033, test_loss: 1.2852, test_f1: 0.3174
 epoch: 48, train_loss: 1.2083, test_loss: 1.2855, test_f1: 0.3198
 epoch: 49, train_loss: 1.2039, test_loss: 1.2851, test_f1: 0.3229
 epoch: 50, train_loss: 1.2064, test_loss: 1.2840, test_f1: 0.3229
