global_epoch,train_loss,val_loss,val_acc,val_f1
0,1.3798854734950934,1.3777418808899722,0.0,0.10560342190715531
1,1.3630605390658395,1.3685120266349136,0.0,0.22806009118896384
2,1.3535679219248957,1.3606934310873247,0.0,0.22806009118896384
3,1.3442973021120308,1.353297500012749,0.0,0.22806009118896384
4,1.3332960458609242,1.345652806852256,0.0,0.24110263105041174
5,1.3190884428664138,1.336933863069619,0.0,0.23914991953237064
6,1.2996690974067957,1.3253904497032065,0.0,0.24296157895252923
7,1.279065509421376,1.3481472403822619,0.0,0.26090084225472365
8,1.2586033718273661,1.3037680284783983,0.0,0.3033728582452578
9,1.2430133706083695,1.2905808092719893,0.0,0.28935943739574016
10,1.2328288371570575,1.2847243426051527,0.0,0.2657769159074642
11,1.2269418532094254,1.2915104001993922,0.0,0.29407337347471624
12,1.2130057553513742,1.3102993877998532,0.0,0.27014057930751456
13,1.211955301830182,1.2940916056421345,0.0,0.29250779604316335
14,1.203954514604026,1.2770516019577145,0.0,0.26449557422674713
15,1.2061109002024983,1.2819848919661798,0.0,0.24928224533589974
16,1.206028189598181,1.261137680970035,0.0,0.2687316912384882
17,1.2032120108985291,1.2657990617478174,0.0,0.2313649623278557
18,1.189519259419304,1.2647710655750244,0.0,0.27500598522424174
19,1.1924035046428156,1.2724383082775783,0.0,0.26576501305483025
20,1.1849464012030215,1.3223012022810257,0.0,0.25772433580064336
21,1.1784210312480743,1.301914623449739,0.0,0.2688041129089884
22,1.1829335849506024,1.310398271127407,0.0,0.26321408735965257
23,1.179247095942878,1.3005489817487352,0.0,0.2646308422368672
24,1.1677876758118406,1.2999167180870594,0.0,0.26321408735965257
25,1.1675520259351395,1.3211649603383038,0.0,0.23538089208344778
26,1.1698790940232933,1.2449391018939704,0.0,0.23331794991749852
27,1.163692873278365,1.272597350277415,0.0,0.24796717642670646
28,1.1694893409649785,1.2841539507435134,0.0,0.24134075407855135
29,1.1592109284081018,1.3017427130716588,0.0,0.24102946661693397
30,1.154649391418067,1.248201574420182,0.0,0.25486129470610025
31,1.152963420453544,1.3264756165347584,0.0,0.2375910312111924
32,1.1569913811577013,1.286795235178178,0.0,0.25141265951266417
